message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2803160,0.007079794,168,1583017200,278.15,271.58,995,86,277.04,279.15,7.2,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2803160,0.007079794,168,1583020800,278.27,270.08,995,80,277.04,279.15,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583024400,278.33,270.42,995,75,277.04,279.82,8.7,210,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583028000,278.51,270.21,996,75,277.04,279.82,9.3,220,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583031600,278.68,269.71,995,75,277.04,279.82,10.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583035200,278.92,270.69,994,75,277.59,279.82,9.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583038800,279.27,269.89,995,70,278.15,279.82,10.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583042400,279.05,270.29,995,80,277.04,280.15,10.3,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583046000,279.02,272.07,994,80,277.04,280.15,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583049600,279.59,272.39,995,80,278.15,280.37,8.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583053200,279.97,271.21,995,75,278.71,280.93,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583056800,280.83,270.99,995,70,279.15,282.04,11.8,220,20,801,Clouds,few clouds,02d
Count: 168,200,2803160,0.007079794,168,1583060400,281.75,272.23,995,65,280.15,283.15,11.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803160,0.007079794,168,1583064000,282.3,273.5,995,63,280.93,283.71,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583067600,282.53,274.46,995,63,281.15,283.71,9.3,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803160,0.007079794,168,1583071200,282.5,274.77,994,61,281.15,284.26,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803160,0.007079794,168,1583074800,282.47,275.59,993,65,280.37,284.26,7.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583078400,281.76,277.3,992,75,279.26,283.15,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583082000,281.01,276.42,991,75,278.15,282.15,4.6,190,75,500,Rain,light rain,10d
Count: 168,200,2803160,0.007079794,168,1583085600,279.78,277.3,992,93,277.04,282.04,2.1,280,75,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583089200,279.07,276.24,992,86,276.48,281.48,2.1,210,75,501,Rain,moderate rain,10n
Count: 168,200,2803160,0.007079794,168,1583092800,278.66,275.96,992,93,276.48,281.48,2.1,170,75,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583096400,278.32,274.51,992,93,275.93,281.48,3.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583100000,278.19,272.53,993,93,276.48,279.26,6.2,240,40,802,Clouds,scattered clouds,03n
Count: 168,200,2803160,0.007079794,168,1583103600,278.0,271.96,994,93,276.48,279.26,6.7,230,95,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583107200,277.59,270.93,994,86,276.48,279.26,7.2,220,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583110800,277.23,270.7,994,93,275.93,278.15,7.2,200,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583114400,277.03,270.63,994,86,275.37,277.59,6.7,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583118000,277.09,270.35,993,86,275.93,278.15,7.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583121600,277.26,271.24,992,86,275.37,278.15,6.2,170,40,802,Clouds,scattered clouds,03n
Count: 168,200,2803160,0.007079794,168,1583125200,277.41,271.42,991,86,275.93,278.71,6.2,170,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583128800,277.78,272.2,990,86,275.93,279.82,5.7,170,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583132400,278.19,273.28,990,80,277.04,279.82,4.6,170,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583136000,279.05,274.11,989,86,277.59,280.37,5.1,170,20,801,Clouds,few clouds,02d
Count: 168,200,2803160,0.007079794,168,1583139600,279.97,276.44,989,81,278.71,280.93,3.1,130,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583143200,280.77,274.87,989,81,279.15,281.48,6.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583146800,281.77,276.77,988,81,280.15,283.71,5.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583150400,281.94,276.4,988,75,280.93,282.59,6.2,200,90,500,Rain,light rain,10d
Count: 168,200,2803160,0.007079794,168,1583154000,281.98,277.21,987,75,280.93,282.59,5.1,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583157600,281.62,279.88,987,81,280.15,282.59,1.0,240,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583161200,281.17,277.19,988,81,279.82,282.15,4.07,171,90,500,Rain,light rain,10d
Count: 168,200,2803160,0.007079794,168,1583164800,280.69,279.53,989,93,279.82,281.48,0.5,240,75,501,Rain,moderate rain,10d
Count: 168,200,2803160,0.007079794,168,1583168400,280.12,277.95,989,100,279.15,280.93,2.1,240,75,500,Rain,light rain,10d
Count: 168,200,2803160,0.007079794,168,1583172000,279.87,278.18,990,93,278.71,281.48,1.0,230,75,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583175600,279.4,275.8,991,93,278.15,280.37,3.6,220,75,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583179200,279.11,275.31,992,100,278.15,280.93,4.1,310,75,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583182800,278.75,274.67,993,93,277.59,279.82,4.1,310,75,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583186400,278.2,272.34,995,86,277.04,279.26,6.2,300,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583190000,277.67,272.84,996,86,276.48,279.26,4.6,280,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583193600,277.05,272.66,997,93,275.37,279.26,4.1,270,100,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583197200,276.63,271.46,998,93,275.93,278.15,5.1,250,100,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583200800,276.31,272.14,999,93,274.82,277.15,3.6,240,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583204400,275.95,271.02,999,93,274.26,277.15,4.6,240,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583208000,275.46,270.45,1000,93,274.15,276.48,4.6,230,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583211600,275.27,269.49,1001,94,274.15,276.15,5.7,230,40,802,Clouds,scattered clouds,03n
Count: 168,200,2803160,0.007079794,168,1583215200,274.99,269.58,1001,94,273.71,276.15,5.1,220,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583218800,274.9,269.06,1001,94,273.71,276.15,5.7,220,20,801,Clouds,few clouds,02d
Count: 168,200,2803160,0.007079794,168,1583222400,276.22,271.53,1002,87,274.82,278.15,4.1,190,20,801,Clouds,few clouds,02d
Count: 168,200,2803160,0.007079794,168,1583226000,277.44,271.64,1002,93,275.15,279.26,6.2,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803160,0.007079794,168,1583229600,278.31,272.12,1002,86,277.15,279.82,6.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583233200,279.29,273.09,1003,80,277.15,281.48,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583236800,279.82,274.25,1003,75,278.15,281.48,5.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583240400,280.13,274.61,1003,75,278.15,281.48,5.7,240,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803160,0.007079794,168,1583244000,280.65,274.18,1003,65,278.71,282.59,6.7,240,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803160,0.007079794,168,1583247600,280.37,274.38,1003,70,278.71,282.04,6.2,240,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583251200,279.88,275.12,1003,65,278.71,282.59,4.1,240,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583254800,279.28,274.04,1004,75,277.15,280.93,5.1,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803160,0.007079794,168,1583258400,278.42,274.1,1005,75,276.15,280.93,3.6,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2803160,0.007079794,168,1583262000,277.51,273.35,1006,86,275.93,279.15,3.6,200,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583265600,276.93,272.33,1007,86,274.82,278.15,4.1,190,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583269200,276.76,271.78,1008,86,275.37,277.59,4.6,190,78,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583272800,276.82,271.69,1008,93,275.93,277.59,5.1,200,40,520,Rain,light intensity shower rain,09n
Count: 168,200,2803160,0.007079794,168,1583276400,276.5,270.89,1008,93,274.82,277.59,5.7,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583280000,276.74,271.94,1009,93,275.37,277.59,4.6,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583283600,276.9,271.78,1009,93,275.37,278.15,5.1,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583287200,277.43,272.59,1009,100,276.15,278.15,5.1,230,75,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583290800,277.59,272.59,1010,93,276.48,278.71,5.1,240,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583294400,277.9,272.96,1010,93,276.48,279.82,5.1,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583298000,277.71,273.08,1010,93,276.48,278.71,4.6,240,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583301600,276.75,272.3,1011,93,274.82,278.71,4.1,240,40,802,Clouds,scattered clouds,03n
Count: 168,200,2803160,0.007079794,168,1583305200,276.75,272.65,1011,93,275.37,278.15,3.6,220,20,801,Clouds,few clouds,02d
Count: 168,200,2803160,0.007079794,168,1583308800,277.56,273.26,1011,93,275.93,279.26,4.1,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583312400,278.98,274.94,1012,93,277.15,280.37,4.1,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583316000,280.26,275.16,1011,87,279.15,282.04,5.7,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803160,0.007079794,168,1583319600,280.99,276.78,1012,86,278.15,283.15,4.6,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583323200,281.35,276.05,1012,75,279.26,283.71,5.7,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583326800,281.71,276.29,1011,70,279.26,284.26,5.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583330400,281.81,276.22,1011,65,280.93,283.15,5.7,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803160,0.007079794,168,1583334000,281.73,276.92,1010,75,279.15,283.71,5.1,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803160,0.007079794,168,1583337600,280.7,275.11,1009,70,279.15,282.15,5.7,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803160,0.007079794,168,1583341200,279.99,274.71,1009,70,278.15,282.15,5.1,190,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803160,0.007079794,168,1583344800,279.06,274.84,1009,75,276.48,281.15,3.6,200,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583348400,278.57,274.62,1009,75,276.48,280.93,3.1,180,89,804,Clouds,overcast clouds,04n
Count: 168,200,2803160,0.007079794,168,1583352000,278.45,274.48,1009,75,276.48,280.15,3.1,190,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583355600,278.47,273.95,1008,80,277.04,279.82,4.1,190,75,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583359200,278.36,274.0,1008,86,277.04,280.37,4.1,160,75,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583362800,278.25,274.57,1006,86,277.04,280.37,3.1,150,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.007079794,168,1583366400,278.15,273.4,1005,86,276.48,279.82,4.6,150,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583370000,278.02,273.6,1004,86,276.48,279.26,4.1,150,75,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583373600,278.04,272.7,1003,93,276.48,279.26,5.7,170,75,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583377200,278.06,273.15,1002,93,276.48,279.82,5.1,160,75,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583380800,278.15,273.95,1001,93,276.48,279.82,4.1,150,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2803160,0.007079794,168,1583384400,278.15,273.95,1000,93,276.48,279.82,4.1,150,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583388000,278.2,274.01,999,93,276.48,279.82,4.1,160,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2803160,0.007079794,168,1583391600,278.36,274.55,998,93,276.48,279.82,3.6,150,75,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2803160,0.007079794,168,1583395200,278.89,275.54,997,93,278.15,280.37,3.1,140,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583398800,279.41,275.62,996,87,278.15,280.93,3.6,140,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583402400,279.86,276.35,995,93,278.71,280.93,3.6,140,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2803160,0.007079794,168,1583406000,280.19,276.4,994,93,279.15,281.48,4.1,140,40,500,Rain,light rain,10d
Count: 168,200,2803160,0.007079794,168,1583409600,280.49,276.41,994,93,278.71,281.48,4.6,80,90,804,Clouds,overcast clouds,04d
Count: 168,200,2803160,0.007079794,168,1583413200,280.47,277.32,993,100,278.71,281.48,3.6,80,40,520,Rain,light intensity shower rain,09d
Count: 168,200,2803160,0.007079794,168,1583416800,280.51,277.84,990,93,278.71,281.48,2.6,80,75,500,Rain,light rain,10d
Count: 168,200,2803160,0.007079794,168,1583420400,280.3,277.23,989,93,278.71,281.48,3.1,90,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2803160,0.007079794,168,1583424000,280.1,275.59,989,93,278.71,280.93,5.1,110,90,500,Rain,light rain,10d
Count: 168,200,2803160,0.007079794,168,1583427600,279.64,273.09,987,100,278.15,280.93,8.2,90,90,500,Rain,light rain,10d
Count: 168,200,2803160,0.007079794,168,1583431200,279.52,273.99,987,100,278.15,280.93,6.7,100,90,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583434800,279.39,273.96,986,93,278.15,280.93,6.2,100,90,501,Rain,moderate rain,10n
Count: 168,200,2803160,0.007079794,168,1583438400,279.33,276.28,985,100,278.71,280.37,3.1,140,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583442000,279.34,274.89,985,100,278.71,280.37,5.1,100,90,501,Rain,moderate rain,10n
Count: 168,200,2803160,0.007079794,168,1583445600,279.3,277.15,984,93,278.15,280.37,1.5,140,75,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583449200,279.25,275.97,984,93,278.15,280.37,3.1,150,75,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583452800,279.2,277.03,984,93,278.15,280.37,1.5,90,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583456400,279.07,276.67,984,100,278.15,280.37,2.1,100,90,701,Mist,mist,50n
Count: 168,200,2803160,0.007079794,168,1583460000,278.73,275.9,985,100,277.59,279.82,2.6,360,75,701,Mist,mist,50n
Count: 168,200,2803160,0.007079794,168,1583463600,278.37,274.22,986,93,277.59,279.26,4.1,320,75,701,Mist,mist,50n
Count: 168,200,2803160,0.007079794,168,1583467200,277.94,273.9,986,100,277.15,278.71,4.1,320,90,701,Mist,mist,50n
Count: 168,200,2803160,0.007079794,168,1583470800,277.41,273.27,988,100,276.15,278.71,4.1,310,90,701,Mist,mist,50n
Count: 168,200,2803160,0.007079794,168,1583474400,277.29,272.43,989,100,276.15,278.71,5.1,310,90,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2803160,0.007079794,168,1583478000,277.38,272.88,992,100,276.15,278.71,4.6,290,75,500,Rain,light rain,10d
Count: 168,200,2803160,0.007079794,168,1583481600,277.64,272.65,993,93,276.48,279.82,5.1,310,75,501,Rain,moderate rain,10d
Count: 168,200,2803160,0.007079794,168,1583485200,278.03,273.46,994,93,277.04,280.37,4.6,310,75,500,Rain,light rain,10d
Count: 168,200,2803160,0.007079794,168,1583488800,278.49,273.66,995,93,277.04,280.93,5.1,290,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583492400,279.11,274.75,997,93,277.59,280.93,4.6,300,75,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2803160,0.007079794,168,1583496000,279.82,275.41,998,87,277.59,282.59,4.6,300,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583499600,280.57,276.66,999,87,278.71,282.59,4.1,310,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583503200,280.82,276.75,1000,81,278.71,282.15,4.1,300,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583506800,280.3,274.66,1001,81,278.15,282.59,6.2,290,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583510400,279.71,274.35,1002,93,278.15,281.15,6.2,280,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583514000,278.72,273.51,1004,93,277.04,280.93,5.7,290,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583517600,278.46,273.62,1004,93,276.48,280.93,5.1,270,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583521200,278.15,273.95,1006,93,277.04,278.71,4.1,270,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583524800,277.81,273.0,1007,86,276.48,278.71,4.6,290,75,520,Rain,light intensity shower rain,09n
Count: 168,200,2803160,0.007079794,168,1583528400,278.0,272.66,1008,93,275.37,280.37,5.7,280,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583532000,277.9,272.96,1009,93,276.48,278.71,5.1,290,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583535600,277.8,273.54,1010,93,276.48,278.71,4.1,280,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583539200,277.75,273.48,1011,93,276.48,278.15,4.1,280,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583542800,277.54,273.23,1012,93,276.48,278.15,4.1,280,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583546400,277.29,273.29,1013,93,275.93,278.15,3.6,280,75,520,Rain,light intensity shower rain,09n
Count: 168,200,2803160,0.007079794,168,1583550000,277.02,273.32,1013,93,275.37,278.15,3.1,310,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583553600,276.69,272.93,1014,93,274.82,277.59,3.1,290,75,701,Mist,mist,50n
Count: 168,200,2803160,0.007079794,168,1583557200,276.32,272.85,1015,93,274.26,277.59,2.6,250,88,500,Rain,light rain,10n
Count: 168,200,2803160,0.007079794,168,1583560800,275.73,271.99,1016,100,273.71,277.59,3.1,250,88,500,Rain,light rain,10d
Count: 168,200,2803160,0.007079794,168,1583564400,275.91,271.67,1016,93,274.15,277.15,3.6,260,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.007079794,168,1583568000,277.04,273.69,1017,93,274.82,278.71,2.6,250,20,801,Clouds,few clouds,02d
Count: 168,200,2803160,0.007079794,168,1583571600,278.75,274.46,1018,86,277.15,280.37,4.1,250,20,801,Clouds,few clouds,02d
Count: 168,200,2803160,0.007079794,168,1583575200,280.1,275.9,1019,81,278.15,282.04,4.1,240,20,801,Clouds,few clouds,02d
Count: 168,200,2803160,0.007079794,168,1583578800,281.23,276.74,1019,67,279.15,283.71,4.1,250,20,801,Clouds,few clouds,02d
Count: 168,200,2803160,0.007079794,168,1583582400,281.96,277.37,1019,61,280.37,284.26,4.1,250,20,801,Clouds,few clouds,02d
Count: 168,200,2803160,0.007079794,168,1583586000,282.68,278.05,1019,66,281.15,284.82,4.6,240,20,801,Clouds,few clouds,02d
Count: 168,200,2803160,0.007079794,168,1583589600,283.05,277.51,1019,61,280.93,284.82,5.7,250,20,801,Clouds,few clouds,02d
Count: 168,200,2803160,0.007079794,168,1583593200,282.94,277.32,1019,49,281.48,284.82,5.1,240,20,801,Clouds,few clouds,02d
Count: 168,200,2803160,0.007079794,168,1583596800,282.47,277.14,1019,49,280.93,283.71,4.6,240,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803160,0.007079794,168,1583600400,281.89,277.02,1019,84,280.37,282.59,5.7,230,33,802,Clouds,scattered clouds,03d
Count: 168,200,2803160,0.007079794,168,1583604000,281.55,277.73,1019,84,279.82,282.59,4.1,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583607600,281.5,276.14,1019,61,280.37,282.15,5.1,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583611200,281.36,275.18,1019,70,279.26,282.15,6.7,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583614800,281.26,275.06,1019,70,279.26,282.15,6.7,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.007079794,168,1583618400,281.18,275.15,1019,75,279.82,282.15,6.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2803160,0.0067092,168,1583622000,281.01,274.25,1019,75,279.26,282.04,7.7,200,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.0067092,168,1583625600,280.84,274.75,1018,75,279.26,281.48,6.7,200,99,804,Clouds,overcast clouds,04n
Count: 168,200,2803160,0.0067092,168,1583629200,280.7,274.93,1017,75,279.26,281.48,6.2,190,40,802,Clouds,scattered clouds,03n
Count: 168,200,2803160,0.0067092,168,1583632800,280.5,274.35,1017,75,279.26,281.48,6.7,190,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.0067092,168,1583636400,280.28,273.39,1016,75,278.71,281.48,7.7,200,100,804,Clouds,overcast clouds,04n
Count: 168,200,2803160,0.0067092,168,1583640000,280.28,273.39,1016,75,279.26,281.48,7.7,200,100,804,Clouds,overcast clouds,04n
Count: 168,200,2803160,0.0067092,168,1583643600,280.34,273.31,1014,81,279.26,281.48,8.2,200,99,804,Clouds,overcast clouds,04n
Count: 168,200,2803160,0.0067092,168,1583647200,280.17,273.11,1014,81,278.71,281.48,8.2,200,99,804,Clouds,overcast clouds,04d
Count: 168,200,2803160,0.0067092,168,1583650800,280.42,273.4,1014,81,279.15,281.48,8.2,190,99,804,Clouds,overcast clouds,04d
Count: 168,200,2803160,0.0067092,168,1583654400,281.49,273.56,1014,81,280.15,282.59,9.8,200,55,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.0067092,168,1583658000,282.3,273.76,1013,70,280.15,283.71,10.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2803160,0.0067092,168,1583661600,282.87,275.34,1013,75,281.15,284.82,9.3,210,20,801,Clouds,few clouds,02d
Count: 168,200,2803160,0.0067092,168,1583665200,282.8,274.55,1012,66,281.15,284.26,9.8,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2803160,0.0067092,168,1583668800,282.29,274.33,1012,76,280.37,283.71,9.8,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.0067092,168,1583672400,282.23,275.45,1011,87,280.93,283.71,8.7,190,75,500,Rain,light rain,10d
Count: 168,200,2803160,0.0067092,168,1583676000,282.21,276.7,1011,93,280.93,283.15,7.2,200,75,500,Rain,light rain,10d
Count: 168,200,2803160,0.0067092,168,1583679600,282.02,276.73,1010,100,280.93,282.59,7.2,200,75,500,Rain,light rain,10d
Count: 168,200,2803160,0.0067092,168,1583683200,282.26,276.89,1010,87,280.93,283.15,6.7,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2803160,0.0067092,168,1583686800,282.02,276.82,1009,93,280.93,283.15,6.7,200,75,301,Drizzle,drizzle,09d
Count: 168,200,2803160,0.0067092,168,1583690400,281.46,276.13,1010,93,280.15,283.15,6.7,250,75,522,Rain,heavy intensity shower rain,09n
Count: 168,200,2803160,0.0067092,168,1583694000,280.75,275.96,1010,93,279.15,282.04,5.7,240,75,521,Rain,shower rain,09n
Count: 168,200,2803160,0.0067092,168,1583697600,280.44,278.34,1008,100,279.26,282.04,2.1,160,100,500,Rain,light rain,10n
Count: 168,200,2803160,0.0067092,168,1583701200,280.17,275.48,1009,87,279.26,281.15,5.1,210,100,500,Rain,light rain,10n
Count: 168,200,2803160,0.0067092,168,1583704800,279.81,274.12,1009,93,278.71,280.37,6.7,220,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.0067092,168,1583708400,279.72,274.52,1009,87,278.71,280.37,5.7,220,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.0067092,168,1583712000,279.65,274.09,1009,87,278.71,280.93,6.2,220,93,804,Clouds,overcast clouds,04n
Count: 168,200,2803160,0.0067092,168,1583715600,279.55,275.44,1009,87,278.15,280.37,4.1,230,40,802,Clouds,scattered clouds,03n
Count: 168,200,2803160,0.0067092,168,1583719200,279.6,274.38,1009,87,278.15,280.37,5.7,220,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.0067092,168,1583722800,279.42,274.58,1010,87,277.59,280.37,5.1,220,20,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.0067092,168,1583726400,279.15,274.96,1009,87,277.59,280.15,4.1,240,15,801,Clouds,few clouds,02n
Count: 168,200,2803160,0.0067092,168,1583730000,279.36,275.21,1010,87,278.15,280.15,4.1,230,44,802,Clouds,scattered clouds,03n
Count: 168,200,2803160,0.0067092,168,1583733600,279.06,274.34,1011,93,277.59,280.15,5.1,230,75,520,Rain,light intensity shower rain,09d
Count: 168,200,2803160,0.0067092,168,1583737200,279.08,273.24,1011,93,278.15,279.82,6.7,240,75,520,Rain,light intensity shower rain,09d
